Vehicle_ID,Entry_Frame,Exit_Frame,Max_Speed,Avg_Speed,Status
2255,7719,7719,0.0,0.0,Normal
2283,7755,7758,12.07,6.035,Normal
2289,7755,7854,40.15,27.14029411764706,Normal
2313,7767,7767,0.0,0.0,Normal
2333,7776,7824,59.51,46.38866666666667,Normal
2354,7785,7791,22.77,13.280000000000001,Normal
2364,7800,7803,0.0,0.0,Normal
2368,7806,7890,27.77,19.352413793103448,Normal
2371,7815,7824,10.18,6.365,Normal
2372,7827,7863,15.82,6.896923076923077,Normal
2383,7860,8136,120.16,31.28537634408602,Overspeeding
2385,7866,7869,22.91,11.455,Normal
2393,7938,8115,89.63,33.207166666666666,Overspeeding
2421,8058,8190,57.6,28.731555555555556,Normal
2455,8103,8109,0.0,0.0,Normal
2465,8112,8166,25.66,20.546842105263156,Normal
2486,8145,8145,0.0,0.0,Normal
2497,8166,8181,3.6,1.71,Normal
2533,8211,8322,114.06,58.735789473684214,Overspeeding
2538,8223,8379,142.62,54.450192307692305,Overspeeding
2540,8226,8274,160.05,110.84588235294119,Overspeeding
2565,8304,8316,14.14,9.41,Normal
2612,8472,8670,108.29,33.15940298507462,Overspeeding
2613,8475,8478,0.0,0.0,Normal
2615,8517,8877,97.65,29.05206611570248,Overspeeding
2627,8559,8562,17.07,8.535,Normal
2657,8610,8643,11.88,8.6225,Normal
2667,8622,8628,5.4,3.0,Normal
2710,8751,8949,144.18,48.30910447761194,Overspeeding
2719,8757,8841,34.91,17.814999999999998,Normal
2727,8766,8823,12.4,9.467333333333332,Normal
2738,8796,8808,6.52,3.066,Normal
2741,8802,9117,92.75,33.2385294117647,Overspeeding
2776,8844,8844,0.0,0.0,Normal
2791,8883,8910,37.02,29.012999999999998,Normal
2807,8922,9138,69.08,26.688219178082193,Overspeeding
2817,8946,9003,90.83,68.825,Overspeeding
2818,8946,8973,17.77,13.499,Normal
2827,8982,9084,37.61,25.48030303030303,Normal
2842,9051,9057,15.27,10.18,Normal
2855,9087,9510,89.72,18.295864661654136,Overspeeding
2867,9102,9333,131.05,42.936956521739134,Overspeeding
2873,9111,9126,175.77,102.01,Overspeeding
2892,9207,9282,192.82,114.51055555555556,Overspeeding
2922,9255,9414,115.17,55.01905660377359,Overspeeding
2934,9279,9498,33.64,16.595000000000002,Normal
2937,9294,9294,0.0,0.0,Normal
2940,9306,9513,91.81,31.23242857142857,Overspeeding
2953,9366,9366,0.0,0.0,Normal
2966,9384,9675,84.2,24.779052631578946,Overspeeding
2967,9384,9387,32.84,16.42,Normal
2972,9393,9570,85.45,32.29066666666667,Overspeeding
2977,9402,9414,49.26,33.076,Normal
3001,9444,9447,32.84,16.42,Normal
3004,9447,9732,94.75,37.770114942528735,Overspeeding
3008,9450,9489,16.08,11.97,Normal
3017,9468,9468,0.0,0.0,Normal
3022,9483,9546,36.34,27.296363636363637,Normal
3031,9612,9648,162.08,81.04,Overspeeding
3036,9630,9777,88.83,51.773809523809526,Overspeeding
3040,9657,9909,96.5,26.993614457831324,Overspeeding
3042,9660,9702,212.27,175.69538461538463,Overspeeding
3046,9663,9669,74.93,42.97666666666667,Overspeeding
3056,9699,9702,12.07,6.035,Normal
3060,9708,9711,19.47,9.735,Normal
3063,9714,9819,37.17,24.563636363636363,Normal
3074,9786,9846,12.36,8.865555555555554,Normal
3082,9834,9837,39.31,19.655,Normal
3086,9846,10212,99.0,29.74685950413223,Overspeeding
3108,9990,9990,0.0,0.0,Normal
3111,10047,10050,5.4,2.7,Normal
3117,10134,10146,2.16,0.43200000000000005,Normal
3137,10179,10233,33.74,26.571764705882355,Normal
3140,10254,10419,89.8,33.41571428571429,Overspeeding
3143,10269,10527,117.33,34.282941176470594,Overspeeding
3151,10401,10626,137.41,41.65929577464789,Overspeeding
3158,10491,10491,0.0,0.0,Normal
3171,10509,10581,56.92,42.175000000000004,Normal
3176,10512,10632,24.84,14.69048780487805,Normal
3190,10590,10641,40.26,23.07090909090909,Normal
3192,10617,10617,0.0,0.0,Normal
3200,10647,10755,44.28,26.61756756756757,Normal
3201,10647,10797,88.52,38.87549019607843,Overspeeding
3202,10647,10650,5.4,2.7,Normal
3220,10674,10794,132.6,72.23926829268292,Overspeeding
3227,10680,10689,6.52,2.9025,Normal
3242,10707,10797,27.31,19.279,Normal
3243,10713,10713,0.0,0.0,Normal
3247,10791,10920,123.99,53.86045454545455,Overspeeding
3248,10791,10836,185.9,145.618125,Overspeeding
3264,10839,10920,41.14,25.712857142857143,Normal
3271,10875,10920,36.56,25.69,Normal
